hypothesis_id,hypothesis,feature,tested_variable,analysis_unit,test,operationalization,null_hypothesis,alternative_hypothesis
H1,Delay rate differs by scheduled arrival hour,Scheduled arrival hour,scheduled_arrival_hour,arrival,Chi-square independence test,24 scheduled-arrival hour categories (0-23),Delay status is independent of scheduled arrival hour.,Delay status differs by scheduled arrival hour.
H2,Delay rate differs by day of week,Day of week,scheduled_arrival_weekday_name,arrival,Chi-square independence test,7 weekday categories from scheduled arrival timestamps,Delay status is independent of day of week.,Delay status differs by day of week.
H3′,Delay rate differs by season,Season,season,arrival,Chi-square independence test,4 sampled season labels derived from the source month windows,Delay status is independent of season.,Delay status differs by season.
H4,Delay rate differs by weekend status,Weekend indicator,is_weekend,arrival,Chi-square independence test,Binary weekday vs weekend indicator,Delay status is independent of weekend status.,Delay status differs by weekend status.
H5,Delay rate differs by train type,Train type,train_type,arrival,Chi-square independence test,Derived train-type categories from vehicle_text,Delay status is independent of train type.,Delay status differs by train type.
H6,Delay rate differs across line names,Line name,line_name,arrival,Chi-square independence test,Observed line names in the Lausanne area in the 120-day sample,Delay status is independent of line name.,Delay status differs across line names.
H7,Delay rate differs across operators,Operator,operator,arrival,Chi-square independence test,Operator categories present in the filtered dataset,Delay status is independent of operator.,Delay status differs across operators.
H8,Hourly delay rate differs across temperature groups,Temperature group,temperature_group,weather hour,One-way ANOVA,Hourly temperature grouped into sample quartiles; outcome is hourly delay rate,Mean hourly delay rate is the same across temperature groups.,Mean hourly delay rate differs across temperature groups.
H9,Hourly delay rate differs between rainy and dry hours,Rainy vs dry hour,rainy_hour,weather hour,One-way ANOVA,Binary rain indicator at the hourly weather level; outcome is hourly delay rate,Mean hourly delay rate is the same in rainy and dry hours.,Mean hourly delay rate differs between rainy and dry hours.
H10,Hourly delay rate differs between snowy and non-snowy hours,Snowy vs no-snow hour,snowy_hour,weather hour,One-way ANOVA,Binary snow indicator at the hourly weather level; outcome is hourly delay rate,Mean hourly delay rate is the same in snowy and non-snowy hours.,Mean hourly delay rate differs between snowy and non-snowy hours.
H11,Hourly delay rate differs across wind speed groups,Wind speed group,wind_speed_group,weather hour,One-way ANOVA,Hourly wind speed grouped into sample quartiles; outcome is hourly delay rate,Mean hourly delay rate is the same across wind speed groups.,Mean hourly delay rate differs across wind speed groups.
H12,Delay rate differs across stations,Station,stop_name,arrival,Chi-square independence test,4 observed Lausanne-area stations in the filtered dataset,Delay status is independent of station.,Delay status differs across stations.
